probe,f,T,b,mu_real,mu_imag
MH8,540489.2000000001,89.835,0.0095819095149636,3092.8507916345625,650.4412763746544
MH8,538289.2000000001,89.804,0.0148211969062685,3198.9105676053355,698.2978120399467
MH8,536889.2000000001,89.788,0.0200296286493539,3226.0133555334983,744.3739856970426
MH8,536689.2000000001,89.786,0.0253026206046342,3236.7353205543327,788.0423706454758
MH8,536689.2000000001,89.814,0.0309165436774492,3231.06274866767,834.8970476190918
MH8,536689.2000000001,89.812,0.0369921512901783,3246.2354977385858,889.8728542984421
MH8,535889.2000000001,89.809,0.0426613539457321,3188.86456917472,925.7700684604664
MH8,535089.2000000001,89.802,0.0488180443644523,3140.3046549028422,954.904759116738
MH8,535089.2000000001,89.783,0.0550424493849277,3104.484174500192,990.8389777421752
MH8,535089.2000000001,89.786,0.0617992132902145,3087.646893195683,1030.0522325519842
MH8,535089.2000000001,89.769,0.0691644325852394,3072.020352422732,1056.843722536599
MH8,535889.2000000001,89.76,0.0761600583791732,3002.559369615181,1090.5244784743395
MH8,536689.2000000001,89.774,0.0833719074726104,2991.35256537898,1108.4149248131698
MH8,537489.2000000001,89.748,0.0913343578577041,2959.202274669008,1136.5061335052712
MH8,538289.2000000001,89.748,0.0998104959726333,2935.685511769639,1157.947917791391
MH8,538489.2000000001,89.767,0.1087569221854209,2918.729027510188,1185.153808194766
MH8,540489.2000000001,89.835,0.1178627833724021,2870.4514447900806,1192.3729380697428
MH8,541689.2000000001,89.847,0.127371534705162,2849.366137128325,1218.280159802844
MH8,543489.2000000001,89.875,0.1374162435531616,2819.30478671982,1241.6492756681607
MH8,545289.2000000001,89.899,0.1474337428808212,2776.1996862018023,1253.1448874760508
MH8,545289.2000000001,89.913,0.1585465967655182,2733.7645580567973,1254.1324899659514
MH8,554489.2000000001,90.041,0.1653565019369125,2660.7862079203705,1267.6199473688316
MH8,561489.2000000001,90.135,0.1744245588779449,2576.722886266541,1292.766047870264
MH8,573689.2000000001,90.331,0.1797752529382705,2498.10983201401,1303.16007126965
MH8,583689.2000000001,90.459,0.1847438365221023,2406.6849486643105,1333.980237083479
MH8,594689.2000000001,90.693,0.1890905350446701,2366.1234268049075,1323.9638811523434
MH8,602489.2000000001,90.811,0.1940584331750869,2339.668897623818,1346.4623258938043
MH8,609689.2000000001,90.917,0.1992791146039962,2353.96639791092,1352.5867934411724
MH8,452659.2,89.722,0.0095759853720664,3049.603737867795,461.0251636929024
MH8,448659.2,89.71,0.0165150593966245,3203.435351889256,539.0417415001303
MH8,446859.2,89.688,0.0229842606931924,3267.02715777238,591.0685796043434
MH8,446259.2,89.741,0.0293558556586503,3311.2769456488127,644.5878956134411
MH8,446059.2,89.694,0.0356180109083652,3253.387222700685,690.9651204759462
MH8,446059.2,89.686,0.0424747616052627,3273.713112330768,754.1303137048744
MH8,446059.2,89.692,0.0498416647315025,3284.424298271542,793.0117041219219
MH8,446059.2,89.678,0.0567975752055645,3266.28781749424,839.1170162887844
MH8,446059.2,89.681,0.0639059320092201,3256.362373202454,888.8851453920568
MH8,446059.2,89.664,0.071122869849205,3210.7409620599115,927.2198085692082
MH8,446059.2,89.65,0.0780446454882621,3159.277451682054,971.3793624210084
MH8,446059.2,89.64,0.0875245854258537,3154.4581043123803,1006.4709110722428
MH8,446059.2,89.662,0.0947985723614692,3099.795118445506,1048.398318689234
MH8,446059.2,89.676,0.1038847938179969,3080.8703390761684,1060.6563477663562
MH8,446059.2,89.704,0.11312747746706,3061.095178778879,1095.5616231117997
MH8,446059.2,89.73,0.1229565888643264,3017.0747567030976,1112.785545109194
MH8,446059.2,89.74,0.1339468955993652,3003.956180825708,1137.3227167242983
MH8,446059.2,89.733,0.1448849886655807,2989.088439192932,1165.0117972528117
MH8,446259.2,89.744,0.155598446726799,2963.3192976648647,1185.3995534218418
MH8,447459.2,89.763,0.1664639711380005,2929.434703384481,1213.994375555363
MH8,449059.2,89.792,0.1774823367595672,2876.2601955784385,1230.3380326547294
MH8,452459.2,89.821,0.1868810653686523,2804.6326812958177,1252.1999895453864
MH8,458659.2,89.934,0.196094200015068,2724.5490683615308,1274.8061751129312
